,f,p,t
31,156667800.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/156667800.V10.jpeg,1
32,T0010113703.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0010113703.V10.jpeg,1
33,173436700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/173436700.V10.jpeg,1
34,T0048269909.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0048269909.V10.jpeg,1
35,TOO93404407.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO93404407.V10.jpeg,1
36,141762208.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/141762208.V10.jpeg,1
37,165327106.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/165327106.V10.jpeg,1
38,TOO51609208.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO51609208.V10.jpeg,1
39,176282000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/176282000.V10.jpeg,1
40,00145625403.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/00145625403.V10.jpeg,1
41,T0097960001.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0097960001.V10.jpeg,1
42,TO103907300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO103907300.V10.jpeg,1
43,TOO79055402.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO79055402.V10.jpeg,1
44,176547400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/176547400.V10.jpeg,1
45,T0057095606.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0057095606.V10.jpeg,1
46,163239125.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/163239125.V10.jpeg,1
47,T0009905804.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0009905804.V10.jpeg,1
48,TO103265600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO103265600.V10.jpeg,1
49,84104100.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/84104100.V10.jpeg,1
50,122904510.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/122904510.V10.jpeg,1
51,TOO2780808.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO2780808.V10.jpeg,1
52,98292300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/98292300.V10.jpeg,1
53,175606700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/175606700.V10.jpeg,1
54,101091000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/101091000.V10.jpeg,1
55,0117158000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/0117158000.V10.jpeg,1
56,T0104323401.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0104323401.V10.jpeg,1
57,T0049541900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0049541900.V10.jpeg,1
58,TOO9905004.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO9905004.V10.jpeg,1
59,168095300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/168095300.V10.jpeg,1
60,139102900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/139102900.V10.jpeg,1
61,T0103350914.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0103350914.V10.jpeg,1
62,172681400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/172681400.V10.jpeg,1
63,T00103923100.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00103923100.V10.jpeg,1
64,TO107531912.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO107531912.V10.jpeg,1
65,13496400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/13496400.V10.jpeg,1
66,130874300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/130874300.V10.jpeg,1
67,T0046671200.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0046671200.V10.jpeg,1
68,T0103350911.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0103350911.V10.jpeg,1
69,T00137876902.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00137876902.V10.jpeg,1
70,138231711.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/138231711.V10.jpeg,1
71,T0111323408.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0111323408.V10.jpeg,1
72,84104102.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/84104102.V10.jpeg,1
73,160249901.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/160249901.V10.jpeg,1
74,T0083377900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0083377900.V10.jpeg,1
75,T0098002700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0098002700.V10.jpeg,1
76,T0127359123.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0127359123.V10.jpeg,1
77,T0105209200.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0105209200.V10.jpeg,1
78,T00116826100.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00116826100.V10.jpeg,1
79,TOO99550900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO99550900.V10.jpeg,1
80,TO106817500.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO106817500.V10.jpeg,1
81,TOO100383600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO100383600.V10.jpeg,1
82,T00156427700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00156427700.V10.jpeg,1
83,T0110755708.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0110755708.V10.jpeg,1
84,TOO105051500.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO105051500.V10.jpeg,1
85,TOO2780800.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO2780800.V10.jpeg,1
86,131503200.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/131503200.V10.jpeg,1
87,T0117338718.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0117338718.V10.jpeg,1
88,163932900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/163932900.V10.jpeg,1
89,TO105937607.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO105937607.V10.jpeg,1
90,179022400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/179022400.V10.jpeg,1
91,42163200.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/42163200.V10.jpeg,1
92,T0056457301.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0056457301.V10.jpeg,1
93,T00158840300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00158840300.V10.jpeg,1
94,T0103350900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0103350900.V10.jpeg,1
95,T0065392600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0065392600.V10.jpeg,1
96,168441701.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/168441701.V10.jpeg,1
97,179998000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/179998000.V10.jpeg,1
98,T0098002704.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0098002704.V10.jpeg,1
99,109721800.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/109721800.V10.jpeg,1
100,T0043994000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0043994000.V10.jpeg,1
101,T0110184800.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0110184800.V10.jpeg,1
102,T00143935200.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00143935200.V10.jpeg,1
103,116196700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/116196700.V10.jpeg,1
104,117133000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/117133000.V10.jpeg,1
105,T00162693700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00162693700.V10.jpeg,1
106,174821900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/174821900.V10.jpeg,1
107,180535600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/180535600.V10.jpeg,1
108,168441700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/168441700.V10.jpeg,1
109,TOO52079612.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO52079612.V10.jpeg,1
110,TO105183208.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO105183208.V10.jpeg,1
111,155332311.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/155332311.V10.jpeg,1
112,122904511.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/122904511.V10.jpeg,1
113,T0075927804.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0075927804.V10.jpeg,1
114,T0057095605.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0057095605.V10.jpeg,1
115,160249902.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/160249902.V10.jpeg,1
116,T00133637001.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00133637001.V10.jpeg,1
117,TO103670222.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO103670222.V10.jpeg,1
118,38511300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/38511300.V10.jpeg,1
119,T0111323412.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0111323412.V10.jpeg,1
120,TOO46679400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO46679400.V10.jpeg,1
121,T00130874300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00130874300.V10.jpeg,1
122,169283100.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/169283100.V10.jpeg,1
123,T0057095600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0057095600.V10.jpeg,1
124,86303701.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/86303701.V10.jpeg,1
125,138231710.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/138231710.V10.jpeg,1
126,135307900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/135307900.V10.jpeg,1
127,TO107531911.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO107531911.V10.jpeg,1
128,160990500.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/160990500.V10.jpeg,1
129,153346000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/153346000.V10.jpeg,1
130,T0145945910.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0145945910.V10.jpeg,1
131,T0148209919.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0148209919.V10.jpeg,1
132,TOO80517300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO80517300.V10.jpeg,1
133,37357400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/37357400.V10.jpeg,1
134,TOO129318000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO129318000.V10.jpeg,1
135,T0111421700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0111421700.V10.jpeg,1
136,84963200.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/84963200.V10.jpeg,1
137,163807500.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/163807500.V10.jpeg,1
138,T0111444501.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0111444501.V10.jpeg,1
139,T00133637002.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00133637002.V10.jpeg,1
140,129812900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/129812900.V10.jpeg,1
141,T0055424402.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0055424402.V10.jpeg,1
142,179070001.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/179070001.V10.jpeg,1
143,T0103779900.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0103779900.V10.jpeg,1
144,T0076598000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0076598000.V10.jpeg,1
145,TOO72447400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO72447400.V10.jpeg,1
146,TO102070200.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO102070200.V10.jpeg,1
147,156601000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/156601000.V10.jpeg,1
148,163778000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/163778000.V10.jpeg,1
149,170926300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/170926300.V10.jpeg,1
150,TO104291009.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO104291009.V10.jpeg,1
151,T00163032000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00163032000.V10.jpeg,1
152,156953203.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/156953203.V10.jpeg,1
153,T0098112000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0098112000.V10.jpeg,1
154,154431616.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/154431616.V10.jpeg,1
155,TO106442100.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO106442100.V10.jpeg,1
156,T00159016200.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00159016200.V10.jpeg,1
157,T0091437300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0091437300.V10.jpeg,1
158,TOO94751800.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO94751800.V10.jpeg,1
159,31121000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/31121000.V10.jpeg,1
160,TO104862008.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO104862008.V10.jpeg,1
161,TOO87636802.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO87636802.V10.jpeg,1
162,TO105937608.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO105937608.V10.jpeg,1
163,T0069008202.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0069008202.V10.jpeg,1
164,T0105400801.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0105400801.V10.jpeg,1
165,148277000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/148277000.V10.jpeg,1
166,T090575000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T090575000.V10.jpeg,1
167,T0111323400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0111323400.V10.jpeg,1
168,TO102919107.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO102919107.V10.jpeg,1
169,T0069279700.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0069279700.V10.jpeg,1
170,117133002.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/117133002.V10.jpeg,1
171,117133001.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/117133001.V10.jpeg,1
172,T0151517207.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0151517207.V10.jpeg,1
173,90139808.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/90139808.V10.jpeg,1
174,TOO92725701.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO92725701.V10.jpeg,1
175,T0105209202.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0105209202.V10.jpeg,1
176,TO106439000.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TO106439000.V10.jpeg,1
177,179624300.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/179624300.V10.jpeg,1
178,T0084963200.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0084963200.V10.jpeg,1
179,171568400.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/171568400.V10.jpeg,1
180,TOO94088507.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO94088507.V10.jpeg,1
181,TOO94136305.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO94136305.V10.jpeg,1
182,T00156099804.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T00156099804.V10.jpeg,1
183,164420600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/164420600.V10.jpeg,1
184,160249908.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/160249908.V10.jpeg,1
185,T0100904600.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/T0100904600.V10.jpeg,1
186,TOO100383605.V10.jpeg,/Users/jcnelson/Documents/JNDocs/Code/ortho-auto-image/image-type-classifier/data/1/TOO100383605.V10.jpeg,1
